P1 Number of NaNs,P2 Number of NaNs,Prior,P1 Alg,P2 Alg,Time Horizon,Agent Alg,Market Share for P1,P1 Regret Mean,P1 Regret Std,P2 Regret Mean,P2 Regret Std,Abs Average Delta Regret,Memory Size
1,3,Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,1000,HardMax,0.10023670531787286,0.024728080679982157,0.011786174068501029,0.029815044086431989,0.020481278139105163,0.021213328907587294,10
1,3,Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,3000,HardMax,0.31168492602958814,0.019297211982055612,0.011542730611767039,0.026031297606037614,0.021045163218587279,0.023113304164094142,10
1,3,Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,5000,HardMax,0.52674770091963219,0.016590142389365677,0.011026092831458081,0.022768184798401061,0.020287325685303642,0.021239505640673322,10
16,14,Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,1000,HardMax,0.096868452618952411,0.026048456363427452,0.011714694832704212,0.026150601263387217,0.02058301698702002,0.023122928123053402,25
11,11,Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,3000,HardMax,0.28590803678528592,0.021016767656020185,0.012564163329179029,0.02231088779136562,0.020389592679977326,0.022319431949621188,25
9,11,Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,5000,HardMax,0.50797600959616152,0.016900096433068428,0.012268710941361954,0.019900575689295888,0.019862208717686465,0.021489228978277181,25
22,29,Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,1000,HardMax,0.10764334266293481,0.024042888740638802,0.013759244972022902,0.029062315036096936,0.019235232347503378,0.023461143000008844,100
20,26,Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,3000,HardMax,0.31485645741703316,0.019209888312559639,0.01445900012841567,0.024994684664812684,0.019500394961303638,0.026505573888726153,100
17,22,Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,5000,HardMax,0.52862534986005583,0.0167873145275537,0.01462989344195431,0.023082731644608362,0.019059512652599728,0.02726523098910269,100
2,3,Needle In Haystack Medium,ThompsonSampling,DynamicGreedy,1000,HardMax,0.10801439424230307,0.023512415511427968,0.012223930051383291,0.026852773765530365,0.023696583647731716,0.025673520142429841,10
2,2,Needle In Haystack Medium,ThompsonSampling,DynamicGreedy,3000,HardMax,0.33381367453018801,0.017500663586371947,0.010289659650900108,0.026817312264843959,0.024430348122348795,0.02636131861095381,10
1,2,Needle In Haystack Medium,ThompsonSampling,DynamicGreedy,5000,HardMax,0.58968412634946021,0.01346351820489511,0.0086334438917351399,0.026880237043272717,0.024534685541728062,0.026548671196968337,10
15,14,Needle In Haystack Medium,ThompsonSampling,DynamicGreedy,1000,HardMax,0.096634946021591381,0.023377852134329739,0.012136443756642631,0.027552034233750043,0.023634494780159998,0.025294782268558271,25
12,14,Needle In Haystack Medium,ThompsonSampling,DynamicGreedy,3000,HardMax,0.30012475009996009,0.018081436371364126,0.012057019972542861,0.027290000592075297,0.024185084187435108,0.027039459254826714,25
9,11,Needle In Haystack Medium,ThompsonSampling,DynamicGreedy,5000,HardMax,0.49860375849660132,0.015823199196234261,0.012305622805336076,0.027308637779152434,0.024208431674532897,0.028193022308146742,25
29,32,Needle In Haystack Medium,ThompsonSampling,DynamicGreedy,1000,HardMax,0.10008956417433029,0.023045352895509214,0.013818827896843761,0.030306151465505426,0.023080761170580184,0.025643882538582113,100
25,25,Needle In Haystack Medium,ThompsonSampling,DynamicGreedy,3000,HardMax,0.30601999200319868,0.019193084669706307,0.014465273156181244,0.030708641375937196,0.023137919254516474,0.027111410448529067,100
