P1 Number of NaNs,P2 Number of NaNs,Prior,P1 Alg,P2 Alg,Time Horizon,Agent Alg,Market Share for P1,P1 Regret Mean,P1 Regret Std,P2 Regret Mean,P2 Regret Std,Abs Average Delta Regret,Memory Size
1,0,Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,1000,HardMax,0.55296000000000001,0.025100407966386868,0.011109724532347846,0.02087615390678569,0.021974100828971457,0.025096288704162407,10
1,0,Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,3000,HardMax,0.50090666666666672,0.019211792652568144,0.01084266876130318,0.017691748988580797,0.020629273401870069,0.023165715790153574,10
1,0,Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,5000,HardMax,0.47187200000000007,0.016423206100401593,0.010349669067223477,0.01530675994205748,0.019428989292528117,0.020776835632556848,10
9,0,Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,1000,HardMax,0.41161999999999999,0.023500477675797226,0.01228391744496826,0.021949724528642564,0.022326984349989819,0.022234998202162428,25
7,0,Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,3000,HardMax,0.44329333333333337,0.017487461765270742,0.0123777073198976,0.020515947705279359,0.021312373627408777,0.021034663368208761,25
6,0,Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,5000,HardMax,0.44403199999999998,0.01450898173015921,0.012466537600313536,0.018854016540345388,0.020852837517356709,0.02216278818174337,25
14,0,Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,1000,HardMax,0.24896000000000001,0.025003252485188192,0.013994452636558,0.021226827203283342,0.021545600748502567,0.025196573035515046,100
9,0,Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,3000,HardMax,0.33125333333333329,0.022027493898477031,0.015749915499432925,0.01911198622973161,0.021243690956649866,0.025755616436513237,100
9,0,Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,5000,HardMax,0.333532,0.019875355055795074,0.016331587142955649,0.017218393452441912,0.020003381120643333,0.024817976928134509,100
0,0,Needle In Haystack Medium,ThompsonSampling,DynamicGreedy,1000,HardMax,0.51271999999999995,0.023520791694335678,0.0139916274839201,0.026729208350006774,0.024734183885414294,0.029631388212162098,10
0,0,Needle In Haystack Medium,ThompsonSampling,DynamicGreedy,3000,HardMax,0.55074666666666661,0.017695547250227352,0.012831592672588498,0.026531527299947216,0.024698605318849171,0.03063283280629972,10
0,0,Needle In Haystack Medium,ThompsonSampling,DynamicGreedy,5000,HardMax,0.55543999999999993,0.015545414600202659,0.012506613633677957,0.026356285627656198,0.024728313395879824,0.030075058705493499,10
6,0,Needle In Haystack Medium,ThompsonSampling,DynamicGreedy,1000,HardMax,0.38323999999999997,0.025471773101236751,0.013428758612073906,0.028999999999999887,0.024677925358506037,0.031294951174977929,25
