P1 Number of NaNs,P2 Number of NaNs,Prior,P1 Alg,P2 Alg,Time Horizon,Agent Alg,Market Share for P1,P1 Regret Mean,P1 Regret Std,P2 Regret Mean,P2 Regret Std,Abs Average Delta Regret,Memory Size
45,4,Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,1000,HardMax,0.023647235276472355,0.030317247365453187,0.01238920071803426,0.020663301221411641,0.021183803689779995,0.024972696443544339,100
35,3,Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,3000,HardMax,0.081816618338166197,0.026016713996063076,0.015012317163354031,0.017836623688930561,0.020017831348098813,0.027302797156018709,100
33,2,Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,5000,HardMax,0.14797720227977207,0.023510815505722694,0.015901508692178282,0.016225593571074712,0.019346893243428434,0.027445022834442181,100
30,2,Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,7000,HardMax,0.22307689231076896,0.021024879717169834,0.016463089165002689,0.014996978702901452,0.018731079322506314,0.026075827364725437,100
28,2,Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,9000,HardMax,0.29867573242675732,0.019430214584120906,0.017066396190269322,0.013987376108083151,0.018322327493362548,0.025107946288513941,100
27,2,Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,10000,HardMax,0.33888211178882116,0.018803594455636296,0.017021905754373411,0.013589276365805562,0.018086093803145971,0.024629594783551149,100
37,4,Needle In Haystack Medium,ThompsonSampling,DynamicGreedy,1000,HardMax,0.026964503549645032,0.029107015383331103,0.014622125019991293,0.026615132250080119,0.024791850348949849,0.024916454004599416,100
29,3,Needle In Haystack Medium,ThompsonSampling,DynamicGreedy,3000,HardMax,0.086164983501649847,0.025425210150879455,0.015051566168150147,0.026722903803913504,0.024844480555746333,0.026946938462371648,100
25,3,Needle In Haystack Medium,ThompsonSampling,DynamicGreedy,5000,HardMax,0.15035056494350568,0.022987657663670887,0.01528178754853847,0.026706484713461272,0.024861851084218022,0.027046387307536335,100
24,2,Needle In Haystack Medium,ThompsonSampling,DynamicGreedy,7000,HardMax,0.22309049095090494,0.021815683457030059,0.01592110485809177,0.026440607866900213,0.024922016483137809,0.027489905482388825,100
23,2,Needle In Haystack Medium,ThompsonSampling,DynamicGreedy,9000,HardMax,0.29141245875412453,0.020956356084601252,0.016426812334411241,0.026431720728767035,0.024931328917313041,0.027916230671359302,100
23,1,Needle In Haystack Medium,ThompsonSampling,DynamicGreedy,10000,HardMax,0.32557544245575448,0.020257417821750584,0.016291667900972199,0.026619516561727802,0.024922355518019121,0.028120900928896721,100
41,1,Needle In Haystack Medium,DynamicGreedy,DynamicEpsilonGreedy,1000,HardMax,0.023687231276872309,0.032426771819874259,0.020603009023467372,0.022812485242002946,0.021291109566598878,0.020376714797235539,100
33,1,Needle In Haystack Medium,DynamicGreedy,DynamicEpsilonGreedy,3000,HardMax,0.066923707629237092,0.033095879455921282,0.021317342799676162,0.017704550104295464,0.018940818326496942,0.025066036387034071,100
30,0,Needle In Haystack Medium,DynamicGreedy,DynamicEpsilonGreedy,5000,HardMax,0.10826437356264375,0.03359871560774863,0.02142994833884183,0.014944085369468084,0.01766456543482291,0.028503121430695933,100
29,0,Needle In Haystack Medium,DynamicGreedy,DynamicEpsilonGreedy,7000,HardMax,0.14794440555944408,0.033721605602025868,0.021465786750333955,0.013446079225950033,0.017401252947398117,0.029609350801966833,100
27,0,Needle In Haystack Medium,DynamicGreedy,DynamicEpsilonGreedy,9000,HardMax,0.1816930306969303,0.034230202820892737,0.02144182647994438,0.012391492932039812,0.01686943550200877,0.030813226635264625,100
27,0,Needle In Haystack Medium,DynamicGreedy,DynamicEpsilonGreedy,10000,HardMax,0.19808499150084996,0.034272475833412981,0.021477654601686044,0.012000178965367878,0.016673026176876091,0.03113779749037961,100
0,0,Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,1000,HardMaxWithRandom,0.035192480751924819,0.025491849379475531,0.012490379263294545,0.02234351539457316,0.021541105511033869,0.023703259553071204,100
0,0,Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,3000,HardMaxWithRandom,0.12445715428457156,0.019822205815306741,0.012733906151544069,0.018301064930601341,0.020079408218047871,0.02293441972309606,100
0,0,Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,5000,HardMaxWithRandom,0.22066673332666736,0.01682865335961313,0.012564872270775629,0.016458929403183952,0.019462360147266794,0.022262013154242415,100
0,0,Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,7000,HardMaxWithRandom,0.31600759924007593,0.014483332227042518,0.012086611792633258,0.01491187276091948,0.018755056328808896,0.020458391453775558,100
0,0,Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,9000,HardMaxWithRandom,0.41043815618438156,0.013210989085928602,0.011912567236854256,0.01361463573410414,0.017886100859486116,0.018881927389698815,100
0,0,Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,10000,HardMaxWithRandom,0.45585121487851216,0.012514228806245796,0.011567636397535632,0.01313990316490184,0.017650488204080255,0.018134215189779306,100
0,0,Needle In Haystack Medium,ThompsonSampling,DynamicGreedy,1000,HardMaxWithRandom,0.039449655034496559,0.026860171123534313,0.012248265916052374,0.026921399693171824,0.024722187026218409,0.024610470179792787,100
0,0,Needle In Haystack Medium,ThompsonSampling,DynamicGreedy,3000,HardMaxWithRandom,0.14167703229677034,0.020218752094573109,0.012733484642817271,0.026809862345938712,0.024786496138247596,0.027145608858330974,100
0,0,Needle In Haystack Medium,ThompsonSampling,DynamicGreedy,5000,HardMaxWithRandom,0.25343705629437052,0.016070596197312451,0.012463894095984356,0.026790729013527671,0.024809970273710461,0.027776531329813833,100
0,0,Needle In Haystack Medium,ThompsonSampling,DynamicGreedy,7000,HardMaxWithRandom,0.37398180181981799,0.013361418028654997,0.011815562103084633,0.02681822794384324,0.024865503004102178,0.028264630214943298,100
