Prior,P1 Alg,P2 Alg,Time Horizon,Agent Alg,Market Share for P1,P1 Regret,P2 Regret,Abs Delta Regret,Memory Size
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,1000,HardMax,0.714,0.026330532212885338,0.001223776223776225,0.025106755989109112,10
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,3000,HardMax,0.9046666666666666,0.0083824613117170921,0.001223776223776225,0.007158685087940867,10
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,5000,HardMax,0.6708,0.0069022063208110298,0.0014580801944106929,0.0054441261264003369,10
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,1000,HardMax,0.341,0.037976539589442963,0.04855842185129032,0.010581882261847357,10
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,3000,HardMax,0.3933333333333333,0.018771186440678118,0.048818681318679724,0.030047494878001606,10
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,5000,HardMax,0.5414,0.011710380495013046,0.048931530745746084,0.03722115025073304,10
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,1000,HardMax,0.613,0.0093800978792821996,0.0014211886304909573,0.0079589092487912429,10
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,3000,HardMax,0.49133333333333334,0.005156037991858875,0.0012778505897771963,0.0038781874020816787,10
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,5000,HardMax,0.4356,0.0039715335169880576,0.0013997165131112669,0.0025718170038767909,10
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,1000,HardMax,0.0,nan,0.024450000000000211,nan,10
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,3000,HardMax,0.0,nan,0.009366666666666754,nan,10
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,5000,HardMax,0.0,nan,0.0062300000000000619,nan,10
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,1000,HardMax,0.56,0.012410714285714258,0.0021590909090909109,0.010251623376623347,10
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,3000,HardMax,0.5066666666666667,0.0061184210526315785,0.0017567567567567566,0.0043616642958748224,10
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,5000,HardMax,0.639,0.0070109546165884771,0.0018282548476454279,0.0051826997689430488,10
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,1000,HardMax,0.964,0.024740663900415148,0.0,0.024740663900415148,10
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,3000,HardMax,0.47,0.022056737588652699,0.0013836477987421391,0.020673089789910559,10
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,5000,HardMax,0.4152,0.024132947976878271,0.0014363885088919269,0.022696559467986346,10
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,1000,HardMax,0.594,0.017424242424242446,0.0017241379310344843,0.015700104493207964,10
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,3000,HardMax,0.4603333333333333,0.020094134685011051,0.001266213712168006,0.018827920972843044,10
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,5000,HardMax,0.676,0.014038461538461373,0.001265432098765433,0.012773029439695939,10
