Prior,P1 Alg,P2 Alg,Time Horizon,Agent Alg,Market Share for P1,P1 Regret,P2 Regret,Abs Delta Regret,Memory Size
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,1000,HardMax,0.0,nan,0.0234500000000002,nan,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,3000,HardMax,0.0,nan,0.040683333333331739,nan,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,5000,HardMax,0.0,nan,0.029989999999999968,nan,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,1000,HardMax,0.0,nan,0.0034999999999999966,nan,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,3000,HardMax,0.0,nan,0.0024333333333333277,nan,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,5000,HardMax,0.0,nan,0.0021000000000000033,nan,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,1000,HardMax,1.0,0.0047499999999999921,nan,nan,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,3000,HardMax,1.0,0.0026499999999999935,nan,nan,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,5000,HardMax,1.0,0.003930000000000029,nan,nan,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,1000,HardMax,1.0,0.021750000000000175,nan,nan,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,3000,HardMax,1.0,0.0091666666666667517,nan,nan,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,5000,HardMax,1.0,0.006290000000000062,nan,nan,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,1000,HardMax,1.0,0.029750000000000287,nan,nan,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,3000,HardMax,0.5153333333333333,0.024902975420439812,0.0080123796423659088,0.016890595778073905,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,5000,HardMax,0.3092,0.024902975420439812,0.0087434858135495928,0.016159489606890218,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,1000,HardMax,0.0,nan,0.040349999999999844,nan,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,3000,HardMax,0.0,nan,0.025116666666665954,nan,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,5000,HardMax,0.0,nan,0.015579999999999544,nan,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,1000,HardMax,0.0,nan,0.047049999999999467,nan,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,3000,HardMax,0.0,nan,0.041749999999998344,nan,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,5000,HardMax,0.0,nan,0.025769999999999009,nan,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,1000,HardMax,1.0,0.0062499999999999865,nan,nan,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,3000,HardMax,1.0,0.003200000000000001,nan,nan,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,5000,HardMax,1.0,0.0020500000000000023,nan,nan,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,1000,HardMax,0.0,nan,0.048549999999999378,nan,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,3000,HardMax,0.0,nan,0.018849999999999641,nan,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,5000,HardMax,0.0,nan,0.011959999999999749,nan,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,1000,HardMax,0.131,0.020992366412213734,0.0018987341772151915,0.019093632234998541,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,3000,HardMax,0.23733333333333334,0.021278089887640565,0.001835664335664333,0.019442425551976231,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,5000,HardMax,0.1424,0.021278089887640565,0.0021338619402985065,0.019144227947342059,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,1000,HardMax,0.262,0.016984732824427456,0.046070460704607324,0.029085727880179869,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,3000,HardMax,0.422,0.0084913112164297158,0.046885813148787502,0.038394501932357786,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,5000,HardMax,0.6532,0.0048836497244335864,0.046885813148787502,0.042002163424353915,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,1000,HardMax,0.377,0.046949602122016224,0.0041733547351524873,0.042776247386863739,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,3000,HardMax,0.12566666666666668,0.046949602122016224,0.0026115135341212292,0.044338088587894994,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,5000,HardMax,0.0754,0.046949602122016224,0.0021306510923642672,0.044818951029651957,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,1000,HardMax,0.0,nan,0.0011500000000000011,nan,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,3000,HardMax,0.0,nan,0.0012333333333333319,nan,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,5000,HardMax,0.0,nan,0.0012899999999999971,nan,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,1000,HardMax,0.0,nan,0.0024500000000000004,nan,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,3000,HardMax,0.0,nan,0.0021333333333333287,nan,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,5000,HardMax,0.0,nan,0.001940000000000001,nan,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,1000,HardMax,0.62,0.016693548387096798,0.049210526315789815,0.032516977928693014,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,3000,HardMax,0.20766666666666667,0.016693418940609977,0.046697517879678518,0.030004098939068542,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,5000,HardMax,0.1246,0.016693418940609977,0.033550376970527561,0.016856958029917584,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,1000,HardMax,0.0,nan,0.003599999999999996,nan,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,3000,HardMax,0.0003333333333333333,0.050000000000000044,0.0023174391463821223,0.047682560853617925,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,5000,HardMax,0.0002,0.050000000000000044,0.0020904180836167265,0.047909581916383316,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,1000,HardMax,0.009,0.033333333333333361,0.049142280524721867,0.015808947191388506,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,3000,HardMax,0.003,0.033333333333333361,0.049214309595452768,0.015880976262119408,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,5000,HardMax,0.002,0.035000000000000031,0.049338677354713777,0.014338677354713746,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,1000,HardMax,0.777,0.014221364221364252,0.049327354260089787,0.035105990038725533,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,3000,HardMax,0.25933333333333336,0.014203084832904915,0.028240324032402599,0.014037239199497684,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,5000,HardMax,0.1556,0.014203084832904915,0.015596873519658551,0.0013937886867536366,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,1000,HardMax,0.016,0.037500000000000033,0.0013719512195121963,0.036128048780487837,100
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,3000,HardMax,0.006666666666666667,0.040000000000000036,0.0044463087248322337,0.035553691275167804,100
