P1 Number of NaNs,P2 Number of NaNs,Prior,P1 Alg,P2 Alg,Time Horizon,Agent Alg,Market Share for P1,P1 Regret Mean,P1 Regret Std,P2 Regret Mean,P2 Regret Std,Abs Average Delta Regret,Memory Size
76,1,Needle In Haystack High,ThompsonSampling,DynamicEpsilonGreedy,1000,HardMax,0.012190000000000001,0.13903137703583332,0.061871056012997673,0.0085110965143003359,0.012795226340957633,0.13362669268240307,1000
76,1,Needle In Haystack High,ThompsonSampling,DynamicEpsilonGreedy,3000,HardMax,0.010753333333333335,0.1386480437025,0.063014656276684913,0.0073664763022055256,0.0042766856578053559,0.1367981878820822,1000
76,1,Needle In Haystack High,ThompsonSampling,DynamicEpsilonGreedy,5000,HardMax,0.010506,0.13885260185714585,0.063136411273020068,0.0071688805998436069,0.0025846069705447571,0.13756325750055842,1000
76,1,Needle In Haystack High,ThompsonSampling,DynamicEpsilonGreedy,7000,HardMax,0.010958571428571427,0.13187231841342614,0.065203502970979349,0.0069901015517924861,0.0018160828572439003,0.13069607245841602,1000
76,1,Needle In Haystack High,ThompsonSampling,DynamicEpsilonGreedy,10000,HardMax,0.01491,0.12391482750668838,0.067331176377253998,0.0068744781495115644,0.0013198753223187514,0.12295031371632763,1000
76,1,Needle In Haystack High,ThompsonSampling,DynamicEpsilonGreedy,12000,HardMax,0.014091666666666667,0.12391107750668838,0.067338044202283495,0.0068395162418203384,0.0011037662218256882,0.12306236077088849,1000
76,1,Needle In Haystack High,ThompsonSampling,DynamicEpsilonGreedy,15000,HardMax,0.014411333333333333,0.12385801481012465,0.067433353339840879,0.0068024668082644285,0.00089192962667238474,0.12317965327345141,1000
70,11,Needle In Haystack High,ThompsonSampling,DynamicGreedy,1000,HardMax,0.11355,0.090275440897554696,0.076307225847588617,0.033707865168538853,0.074868904489696395,0.12265595931192819,1000
70,11,Needle In Haystack High,ThompsonSampling,DynamicGreedy,3000,HardMax,0.12190999999999999,0.085154388462786196,0.078946783747257637,0.03370786516853929,0.074868904489697366,0.11982973616931154,1000
70,11,Needle In Haystack High,ThompsonSampling,DynamicGreedy,5000,HardMax,0.12115999999999999,0.08440852195009195,0.079790064255507859,0.033707865168542371,0.074868904489704208,0.11995029781593847,1000
70,11,Needle In Haystack High,ThompsonSampling,DynamicGreedy,7000,HardMax,0.12084285714285714,0.083979227765993744,0.080210448229325118,0.033707865168543689,0.074868904489707136,0.11986644985608581,1000
70,11,Needle In Haystack High,ThompsonSampling,DynamicGreedy,10000,HardMax,0.12059499999999999,0.079027725898957943,0.076490623468938507,0.033707865168544682,0.074868904489709329,0.11254483036678241,1000
70,11,Needle In Haystack High,ThompsonSampling,DynamicGreedy,12000,HardMax,0.12049583333333334,0.078864378609611055,0.076651761625960727,0.033707865168539443,0.074868904489697713,0.11252182587482465,1000
70,11,Needle In Haystack High,ThompsonSampling,DynamicGreedy,15000,HardMax,0.12039666666666665,0.078685357865606501,0.076828904840994666,0.033707715355799209,0.074868571751448135,0.11249547733165562,1000
66,1,Needle In Haystack High,DynamicGreedy,DynamicEpsilonGreedy,1000,HardMax,0.020269999999999996,0.15878107108872105,0.074960782754605701,0.0098131389299448337,0.015243290663030313,0.15507440103699996,1000
66,1,Needle In Haystack High,DynamicGreedy,DynamicEpsilonGreedy,3000,HardMax,0.02137,0.13446812112753784,0.084631524447482717,0.0076538850673490283,0.0050327345347195738,0.13110305802185282,1000
66,1,Needle In Haystack High,DynamicGreedy,DynamicEpsilonGreedy,5000,HardMax,0.025537999999999998,0.13041215987768462,0.084797305558885788,0.0072623013764058627,0.0030905351773153613,0.12785526238442985,1000
66,1,Needle In Haystack High,DynamicGreedy,DynamicEpsilonGreedy,7000,HardMax,0.032489999999999998,0.11916523121613105,0.087489020643145191,0.007076247328450279,0.0022182573557745257,0.11695606188763988,1000
66,1,Needle In Haystack High,DynamicGreedy,DynamicEpsilonGreedy,10000,HardMax,0.037527999999999992,0.11912415987821685,0.087539429631895288,0.0069287837147460609,0.0015767376929702512,0.11723285685986345,1000
66,1,Needle In Haystack High,DynamicGreedy,DynamicEpsilonGreedy,12000,HardMax,0.037907500000000004,0.11912168034073686,0.087542796083789787,0.0068779735061751156,0.0013324194758033744,0.11736919314992002,1000
66,1,Needle In Haystack High,DynamicGreedy,DynamicEpsilonGreedy,15000,HardMax,0.036226000000000001,0.1191194154196652,0.087545871768262576,0.0068466888208739219,0.0010502920093765963,0.11748310802152023,1000
0,0,Needle In Haystack High,ThompsonSampling,DynamicEpsilonGreedy,1000,HardMaxWithRandom,0.089230000000000004,0.095001381897921247,0.047935936984266757,0.0087985791106422392,0.019351762859710755,0.090038193733781094,1000
0,0,Needle In Haystack High,ThompsonSampling,DynamicEpsilonGreedy,3000,HardMaxWithRandom,0.10283333333333335,0.066564992631871725,0.043536551971773696,0.0075248156078271469,0.0069054447727362788,0.060646534992192504,1000
0,0,Needle In Haystack High,ThompsonSampling,DynamicEpsilonGreedy,5000,HardMaxWithRandom,0.11920600000000002,0.051931974858634204,0.038807612525173278,0.0071975975867930655,0.0041374807651645105,0.046073031924516339,1000
0,0,Needle In Haystack High,ThompsonSampling,DynamicEpsilonGreedy,7000,HardMaxWithRandom,0.13827857142857142,0.041452949381808261,0.03262317691035093,0.0070720778786870176,0.0030206947122497084,0.035778904196992943,1000
0,0,Needle In Haystack High,ThompsonSampling,DynamicEpsilonGreedy,10000,HardMaxWithRandom,0.16919399999999998,0.03105548721751011,0.026441156271979523,0.0069370783426941562,0.0022576207183659697,0.026075647910611632,1000
0,0,Needle In Haystack High,ThompsonSampling,DynamicEpsilonGreedy,12000,HardMaxWithRandom,0.19157999999999997,0.026254720627320535,0.023802202278811014,0.0068691005076417901,0.0017773676625202851,0.02181372559561055,1000
