"","Prior","P1.Alg","P2.Alg","Time.Horizon","Agent.Alg","Market.Share.for.P1","P1.Regret","P2.Regret","Abs.Delta.Regret","Memory.Size"
"1","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",1000,"HardMax",0.004,0.15,0.00803212851405623,0.141967871485944,1000
"2","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",3000,"HardMax",0.00133333333333333,0.15,0.0069425901201602,0.14305740987984,1000
"3","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",5000,"HardMax",0.001,0.16,0.00648648648648647,0.153513513513513,1000
"4","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",7000,"HardMax",0.000714285714285714,0.16,0.00623302358827735,0.153766976411723,1000
"5","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",10000,"HardMax",5e-04,0.16,0.00646323161580794,0.153536768384192,1000
"6","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",12000,"HardMax",0.000416666666666667,0.16,0.00646936223426432,0.153530637765736,1000
"7","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",15000,"HardMax",0.000333333333333333,0.16,0.00640213404468162,0.153597865955318,1000
"8","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",1000,"HardMax",0,NA,0.0072,NA,1000
"9","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",3000,"HardMax",0,NA,0.00666666666666665,NA,1000
"10","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",5000,"HardMax",0,NA,0.00703999999999999,NA,1000
"11","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",7000,"HardMax",0,NA,0.00665714285714287,NA,1000
"12","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",10000,"HardMax",0,NA,0.00674000000000004,NA,1000
"13","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",12000,"HardMax",0,NA,0.00681666666666672,NA,1000
"14","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",15000,"HardMax",0,NA,0.00673333333333339,NA,1000
"15","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",1000,"HardMax",0,NA,0.0048,NA,1000
"16","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",3000,"HardMax",0,NA,0.00679999999999999,NA,1000
"17","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",5000,"HardMax",0,NA,0.00655999999999999,NA,1000
"18","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",7000,"HardMax",0,NA,0.00631428571428573,NA,1000
"19","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",10000,"HardMax",0,NA,0.00636000000000004,NA,1000
"20","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",12000,"HardMax",0,NA,0.00641666666666671,NA,1000
"21","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",15000,"HardMax",0,NA,0.00628000000000005,NA,1000
