Prior,P1 Alg,P2 Alg,Time Horizon,Agent Alg,Market Share for P1,P1 Regret,P2 Regret,Abs Delta Regret,Memory Size
Needle In Haystack High,ThompsonSampling,DynamicEpsilonGreedy,1000,HardMax,0.006,0.1333333333333333,0.0056338028169014105,0.1276995305164319,100
Needle In Haystack High,ThompsonSampling,DynamicEpsilonGreedy,3000,HardMax,0.002,0.1333333333333333,0.0068804275217100733,0.12645290581162322,100
Needle In Haystack High,ThompsonSampling,DynamicEpsilonGreedy,5000,HardMax,0.0012,0.1333333333333333,0.006567881457749284,0.12676545187558402,100
Needle In Haystack High,ThompsonSampling,DynamicEpsilonGreedy,7000,HardMax,0.0008571428571428571,0.1333333333333333,0.0064912782384901491,0.12684205509484314,100
Needle In Haystack High,ThompsonSampling,DynamicEpsilonGreedy,10000,HardMax,0.0006,0.1333333333333333,0.0061636982189313926,0.12716963511440191,100
Needle In Haystack High,ThompsonSampling,DynamicEpsilonGreedy,12000,HardMax,0.0005,0.1333333333333333,0.0062864765716191869,0.12704685676171412,100
Needle In Haystack High,ThompsonSampling,DynamicEpsilonGreedy,15000,HardMax,0.0004,0.1333333333333333,0.0063225290116046958,0.12701080432172862,100
Needle In Haystack High,ThompsonSampling,DynamicEpsilonGreedy,1000,HardMax,0.0,nan,0.005400000000000002,nan,100
Needle In Haystack High,ThompsonSampling,DynamicEpsilonGreedy,3000,HardMax,0.0,nan,0.0072666666666666513,nan,100
Needle In Haystack High,ThompsonSampling,DynamicEpsilonGreedy,5000,HardMax,0.0,nan,0.0072799999999999957,nan,100
Needle In Haystack High,ThompsonSampling,DynamicEpsilonGreedy,7000,HardMax,0.0,nan,0.0065142857142857294,nan,100
Needle In Haystack High,ThompsonSampling,DynamicEpsilonGreedy,10000,HardMax,0.0,nan,0.0062800000000000356,nan,100
Needle In Haystack High,ThompsonSampling,DynamicEpsilonGreedy,12000,HardMax,0.0,nan,0.006066666666666708,nan,100
Needle In Haystack High,ThompsonSampling,DynamicEpsilonGreedy,15000,HardMax,0.0,nan,0.0062666666666667198,nan,100
Needle In Haystack High,ThompsonSampling,DynamicEpsilonGreedy,1000,HardMax,0.0,nan,0.0066000000000000034,nan,100
Needle In Haystack High,ThompsonSampling,DynamicEpsilonGreedy,3000,HardMax,0.0006666666666666666,0.19999999999999996,0.0060707138092061267,0.19392928619079383,100
Needle In Haystack High,ThompsonSampling,DynamicEpsilonGreedy,5000,HardMax,0.0004,0.19999999999999996,0.0067627050820328015,0.19323729491796715,100
Needle In Haystack High,ThompsonSampling,DynamicEpsilonGreedy,7000,HardMax,0.00028571428571428574,0.19999999999999996,0.0066876250357245101,0.19331237496427545,100
