P1 Number of NaNs,P2 Number of NaNs,Prior,P1 Alg,P2 Alg,Time Horizon,Agent Alg,Market Share for P1,P1 Regret Mean,P1 Regret Std,P2 Regret Mean,P2 Regret Std,Abs Average Delta Regret,Memory Size
280,29,Needle In Haystack High,ThompsonSampling,DynamicEpsilonGreedy,200,HardMax,0.11242999999999999,0.09508904272347514,0.068357465900699188,0.024334612195090519,0.052860458558113485,0.098343623722468285,100
250,27,Needle In Haystack High,ThompsonSampling,DynamicEpsilonGreedy,400,HardMax,0.11424000000000001,0.092551393739757917,0.071252909276984508,0.021515033150719731,0.047024380879350278,0.09955389530467397,100
229,26,Needle In Haystack High,ThompsonSampling,DynamicEpsilonGreedy,600,HardMax,0.12033666666666668,0.089784658320039096,0.072595322537985646,0.020123577388108705,0.044732203496776105,0.099051086002850439,100
219,25,Needle In Haystack High,ThompsonSampling,DynamicEpsilonGreedy,800,HardMax,0.1223525,0.09003129531243706,0.073993498228600088,0.019086153570382635,0.043076044971028661,0.10010759314989212,100
211,25,Needle In Haystack High,ThompsonSampling,DynamicEpsilonGreedy,1000,HardMax,0.12607399999999999,0.086829207730401786,0.074693573372637045,0.018383903135534438,0.042094014784565384,0.098882439818320012,100
245,76,Needle In Haystack High,ThompsonSampling,DynamicGreedy,200,HardMax,0.23876999999999998,0.090328309317007055,0.06446554426971772,0.052701114922813042,0.087740247453711173,0.11226195141038753,100
222,74,Needle In Haystack High,ThompsonSampling,DynamicGreedy,400,HardMax,0.255855,0.079441322931705666,0.066143838271746885,0.052137949291452795,0.087187046411115354,0.11709974192810264,100
207,72,Needle In Haystack High,ThompsonSampling,DynamicGreedy,600,HardMax,0.26718666666666668,0.072836965438497575,0.067006609737121803,0.051865337468743264,0.086971399541612288,0.11884943472250964,100
189,69,Needle In Haystack High,ThompsonSampling,DynamicGreedy,800,HardMax,0.27488499999999999,0.072092675478571233,0.070547500529259843,0.051259003411914209,0.086700548203053396,0.11746404822127814,100
181,69,Needle In Haystack High,ThompsonSampling,DynamicGreedy,1000,HardMax,0.28264,0.069109860611670348,0.070783304019004734,0.051112055154217649,0.08668578440551869,0.11626089852056713,100
266,43,Needle In Haystack High,DynamicGreedy,DynamicEpsilonGreedy,200,HardMax,0.16466999999999998,0.10161397120266025,0.098482992226876884,0.024691942907358006,0.052476177734998991,0.11236300476030091,100
245,40,Needle In Haystack High,DynamicGreedy,DynamicEpsilonGreedy,400,HardMax,0.168545,0.10083761043356601,0.098729487172609071,0.022468089314149314,0.049180636437724627,0.11681297689718675,100
225,39,Needle In Haystack High,DynamicGreedy,DynamicEpsilonGreedy,600,HardMax,0.17273000000000002,0.10175725196135127,0.099113517567827672,0.020992792715738364,0.046985966531894727,0.11819191540960722,100
204,37,Needle In Haystack High,DynamicGreedy,DynamicEpsilonGreedy,800,HardMax,0.17560249999999999,0.10172184462487646,0.099296091431298555,0.020496124369224038,0.046315729062641892,0.11720497841680631,100
189,37,Needle In Haystack High,DynamicGreedy,DynamicEpsilonGreedy,1000,HardMax,0.17716399999999999,0.10217231593258516,0.099327102971116465,0.019445109373447792,0.044153717939765413,0.11973525858384186,100
295,16,Needle In Haystack High,ThompsonSampling,ThompsonSampling,200,HardMax,0.095050000000000009,0.099302050795132366,0.065517656025569998,0.012365027312042141,0.020386448862037585,0.096347503910838198,100
272,15,Needle In Haystack High,ThompsonSampling,ThompsonSampling,400,HardMax,0.095909999999999995,0.094180140758266084,0.066530196679698408,0.010129319067571002,0.017775001758518965,0.093649484004916378,100
259,14,Needle In Haystack High,ThompsonSampling,ThompsonSampling,600,HardMax,0.10078333333333334,0.089530413740777276,0.068170241797894909,0.0088049245928938785,0.016902903955033553,0.089782716598498111,100
244,12,Needle In Haystack High,ThompsonSampling,ThompsonSampling,800,HardMax,0.10144999999999998,0.089768517522978666,0.069546140270716691,0.0078721715941635299,0.016505056288263018,0.090237412786981303,100
233,10,Needle In Haystack High,ThompsonSampling,ThompsonSampling,1000,HardMax,0.10202199999999999,0.089333234320115015,0.070877172519530268,0.007294252102227638,0.016393699712465334,0.089860896883427493,100
257,63,Needle In Haystack High,DynamicGreedy,DynamicGreedy,200,HardMax,0.19568000000000002,0.096451112129281702,0.097230169039046507,0.053215102974828378,0.087901804225441235,0.1028909986254697,100
231,58,Needle In Haystack High,DynamicGreedy,DynamicGreedy,400,HardMax,0.20463000000000001,0.089974525218944917,0.097164406760169159,0.054130460169081164,0.088557873192549971,0.10840765929306941,100
215,54,Needle In Haystack High,DynamicGreedy,DynamicGreedy,600,HardMax,0.21240999999999999,0.087713710905996292,0.096809404440916971,0.054893338678285324,0.089033955692666797,0.10585146367520744,100
200,54,Needle In Haystack High,DynamicGreedy,DynamicGreedy,800,HardMax,0.22144749999999999,0.086508766989596239,0.096560009937637692,0.054396111817437427,0.088728480482667377,0.10919776182951987,100
183,52,Needle In Haystack High,DynamicGreedy,DynamicGreedy,1000,HardMax,0.22838599999999998,0.085395434207061902,0.096743200031747967,0.054900456430230178,0.089001159306447059,0.10699713234867457,100
290,43,Needle In Haystack High,DynamicEpsilonGreedy,DynamicEpsilonGreedy,200,HardMax,0.15882999999999997,0.08966958717292299,0.09149856769861904,0.027507451167260038,0.057145838792360321,0.10486805273687787,100
266,42,Needle In Haystack High,DynamicEpsilonGreedy,DynamicEpsilonGreedy,400,HardMax,0.16433499999999998,0.08548070852385263,0.090575723779324047,0.024072231802965451,0.051186092910413601,0.10691905652229765,100
253,39,Needle In Haystack High,DynamicEpsilonGreedy,DynamicEpsilonGreedy,600,HardMax,0.16953000000000001,0.084907954984627748,0.09091900215310135,0.02190524920093553,0.047422834446220481,0.10645867265394424,100
240,39,Needle In Haystack High,DynamicEpsilonGreedy,DynamicEpsilonGreedy,800,HardMax,0.17563000000000004,0.086474761942721579,0.091725673206527816,0.020852308268976959,0.046002542495611205,0.10888522184027626,100
