P1 Number of NaNs,P2 Number of NaNs,Prior,P1 Alg,P2 Alg,Time Horizon,Agent Alg,Market Share for P1,P1 Regret Mean,P1 Regret Std,P2 Regret Mean,P2 Regret Std,Abs Average Delta Regret,Memory Size
0,0,Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,1000,HardMax,0.50609390609390603,0.016543742585999797,0.012001634157681493,0.030910811534692224,0.021724866465906583,0.017971392667196846,10
0,2,Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,1000,HardMax,0.56203796203796208,0.016317634905951322,0.0060697499860414344,0.020605876997062109,0.018770459425214416,0.02296498653623855,25
0,0,Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,1000,HardMax,0.30669330669330674,0.017558616436717089,0.014202795675523917,0.016078757386860223,0.015868234358275481,0.016023994071017549,100
0,1,Needle In Haystack High,ThompsonSampling,DynamicEpsilonGreedy,1000,HardMax,0.89710289710289715,0.015894317459467504,0.0072179062419940763,0.16065400189697931,0.0526437785982986,0.14338610507264493,10
0,1,Needle In Haystack High,ThompsonSampling,DynamicEpsilonGreedy,1000,HardMax,0.61218781218781215,0.032310336896556158,0.025108735097439348,0.1048467266701974,0.093064171546462751,0.11713000032694698,25
1,3,Needle In Haystack High,ThompsonSampling,DynamicEpsilonGreedy,1000,HardMax,0.59999999999999998,0.04113333333333332,0.05346618869279287,0.007009027081243735,0.0009909729187562691,0.12731527917084584,100
0,1,Heavy Tail,ThompsonSampling,DynamicEpsilonGreedy,1000,HardMax,0.627972027972028,0.036488119207608777,0.053811843255071407,0.051811690578538919,0.064468385764604383,0.076637794886852226,10
3,0,Heavy Tail,ThompsonSampling,DynamicEpsilonGreedy,1000,HardMax,0.024175824175824177,0.096720413336948224,0.0481503369779911,0.015568434292354601,0.0060872748377843802,0.087040742679527661,25
2,2,Heavy Tail,ThompsonSampling,DynamicEpsilonGreedy,1000,HardMax,0.40119880119880119,0.063631175376651319,0.067819708086765351,0.040684269462578589,0.019204484844666875,0.091425086192537988,100
0,0,Needle In Haystack Low,ThompsonSampling,DynamicEpsilonGreedy,1000,HardMax,0.38061938061938061,0.027675438523225449,0.013150585926312618,0.023573972821105724,0.021025671780232551,0.032204439119567649,10
0,0,Needle In Haystack Low,ThompsonSampling,DynamicEpsilonGreedy,1000,HardMax,0.49390609390609397,0.022234107920417179,0.010171641327691263,0.020623515947686383,0.0153826919333164,0.0089316996409735498,25
0,2,Needle In Haystack Low,ThompsonSampling,DynamicEpsilonGreedy,1000,HardMax,0.94765234765234774,0.014623254214038619,0.0046094674713691615,0.035137145513714614,0.020138189673721225,0.030757158935889553,100
0,0,Uniform,ThompsonSampling,DynamicEpsilonGreedy,1000,HardMax,0.64035964035964033,0.022956436163047655,0.011865854387707677,0.054970267553433663,0.08472832767320343,0.053160750162047479,10
1,0,Uniform,ThompsonSampling,DynamicEpsilonGreedy,1000,HardMax,0.44995004995004989,0.018810886673818684,0.0028280471264423889,0.066212309320998641,0.077113651204069503,0.055967476469871921,25
2,1,Uniform,ThompsonSampling,DynamicEpsilonGreedy,1000,HardMax,0.43296703296703293,0.011393489853887454,0.0020102232451845894,0.01323060827412211,0.0095044224327635578,0.0079876638858050672,100
