Prior,P1 Alg,P2 Alg,Time Horizon,Agent Alg,Market Share for P1,P1 Regret,P2 Regret,Abs Delta Regret,Memory Size
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,1000,HardMax,0.03598560575769692,0.046111111111111026,0.0043902439024390196,0.041720867208672005,10
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,3000,HardMax,0.13374650139944022,0.0465620328849033,0.0028528528528528464,0.043709180032050453,10
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,5000,HardMax,0.5053978408636546,0.021400316455695831,0.0027305825242718387,0.018669733931423991,10
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,1000,HardMax,0.1997201119552179,0.02987987987988017,0.050000000000000044,0.020120120120119874,10
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,3000,HardMax,0.3398640543782487,0.029705882352940745,0.035230769230768871,0.0055248868778281258,10
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,5000,HardMax,0.6285485805677729,0.021167302798981668,0.02508081896551697,0.0039135161665353017,10
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,1000,HardMax,0.19612155137944823,0.016717635066259021,0.021052631578947389,0.0043349965126883681,10
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,3000,HardMax,0.5343862455017993,0.012046389824167718,0.047400611620795376,0.035354221796627658,10
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,5000,HardMax,0.9342263094762095,0.0092552963834794943,0.047400611620795376,0.038145315237315881,10
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,1000,HardMax,0.020191923230707717,0.045544554455445474,0.012235817575083451,0.033308736880362025,10
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,3000,HardMax,0.21651339464214314,0.046029547553092617,0.0067814293166406107,0.039248118236452009,10
Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,5000,HardMax,0.4022391043582567,0.041973161033795899,0.0049866131191432655,0.036986547914652633,10
