P1 Number of NaNs,P2 Number of NaNs,Prior,P1 Alg,P2 Alg,Time Horizon,Agent Alg,Market Share for P1,P1 Regret Mean,P1 Regret Std,P2 Regret Mean,P2 Regret Std,Abs Average Delta Regret,Memory Size
179,183,Needle In Haystack High,ThompsonSampling,DynamicEpsilonGreedy,200,HardMax,0.52041666666666664,0.064828921343359741,0.054762600436300671,0.071770149987062049,0.084416186924374456,0.10951517918901774,100
175,176,Needle In Haystack High,ThompsonSampling,DynamicEpsilonGreedy,400,HardMax,0.51882499999999998,0.054343880717044865,0.056794974674619469,0.065104390181768446,0.081355761531872656,0.1157906527444607,100
169,174,Needle In Haystack High,ThompsonSampling,DynamicEpsilonGreedy,600,HardMax,0.51723333333333332,0.049658519675840729,0.058872089913756719,0.06111806689576197,0.079808174778889046,0.11611082713515922,100
166,172,Needle In Haystack High,ThompsonSampling,DynamicEpsilonGreedy,800,HardMax,0.51631458333333347,0.047503562561799786,0.060656829785370382,0.059335098498049563,0.079104066328202882,0.11834953675880674,100
163,171,Needle In Haystack High,ThompsonSampling,DynamicEpsilonGreedy,1000,HardMax,0.5164333333333333,0.04585167063820559,0.061766063080493802,0.057626106852201382,0.078243134034076248,0.11915243460291521,100
181,161,Needle In Haystack High,ThompsonSampling,DynamicGreedy,200,HardMax,0.50275833333333331,0.06599409977860253,0.056750261286442553,0.074918681549589805,0.094544811698837758,0.112725377117461,100
169,156,Needle In Haystack High,ThompsonSampling,DynamicGreedy,400,HardMax,0.5096666666666666,0.05415461060546025,0.057681996173159611,0.073617954610716851,0.094909229418563737,0.11901847058163226,100
161,154,Needle In Haystack High,ThompsonSampling,DynamicGreedy,600,HardMax,0.5142916666666667,0.049160101329851144,0.058741719998566921,0.072394918481222828,0.094744894156905998,0.12087580345833354,100
157,153,Needle In Haystack High,ThompsonSampling,DynamicGreedy,800,HardMax,0.5174854166666667,0.046708016204788497,0.060640739196689525,0.071855486795787252,0.094775876640342177,0.12216191652095916,100
152,152,Needle In Haystack High,ThompsonSampling,DynamicGreedy,1000,HardMax,0.51954,0.04513843081004678,0.06177590185257157,0.071922712326103602,0.094935556646850189,0.12280509605831176,100
178,170,Needle In Haystack High,DynamicGreedy,DynamicEpsilonGreedy,200,HardMax,0.49110833333333326,0.076350979069620531,0.093534247989934288,0.071092891244271969,0.084064312862717705,0.11382729708874746,100
175,163,Needle In Haystack High,DynamicGreedy,DynamicEpsilonGreedy,400,HardMax,0.48052083333333334,0.074754640278242662,0.09402966038219493,0.061424823501910121,0.079152744458841628,0.12315346027727443,100
172,159,Needle In Haystack High,DynamicGreedy,DynamicEpsilonGreedy,600,HardMax,0.47338888888888891,0.073997170198982512,0.094157211338045776,0.056541185009540522,0.076801137862230529,0.12724267913590767,100
169,153,Needle In Haystack High,DynamicGreedy,DynamicEpsilonGreedy,800,HardMax,0.46841041666666666,0.07422431742315011,0.094470618418740576,0.05471206449631702,0.076406677403845213,0.12801365685555435,100
168,149,Needle In Haystack High,DynamicGreedy,DynamicEpsilonGreedy,1000,HardMax,0.46410833333333329,0.074128294101939204,0.094651234866799744,0.052990615809148163,0.07573044869206233,0.12910116548855413,100
164,165,Needle In Haystack High,ThompsonSampling,ThompsonSampling,200,HardMax,0.50222499999999992,0.068605192890567129,0.055690983585409533,0.070228586570798682,0.058999624284566898,0.092807912258785472,100
159,159,Needle In Haystack High,ThompsonSampling,ThompsonSampling,400,HardMax,0.50314999999999999,0.058000650173374191,0.059189275976505133,0.059152064860147284,0.061136666221041733,0.1018043131248343,100
157,158,Needle In Haystack High,ThompsonSampling,ThompsonSampling,600,HardMax,0.50304444444444452,0.052866947009209547,0.060551437808730124,0.054814954805372261,0.063141087583541561,0.10619591303122368,100
154,156,Needle In Haystack High,ThompsonSampling,ThompsonSampling,800,HardMax,0.50370625000000013,0.050201122308740562,0.061727032399829795,0.052444870468274056,0.064868542890022141,0.10854874995931288,100
154,155,Needle In Haystack High,ThompsonSampling,ThompsonSampling,1000,HardMax,0.50401666666666667,0.047955647650327789,0.062300701408334318,0.050961426943285967,0.065703134319323897,0.1097934438624853,100
165,163,Needle In Haystack High,DynamicGreedy,DynamicGreedy,200,HardMax,0.47572500000000001,0.07518854487723288,0.092884257564336423,0.074380465482238159,0.093093288072468167,0.10581890475927075,100
158,153,Needle In Haystack High,DynamicGreedy,DynamicGreedy,400,HardMax,0.46948333333333331,0.073494262336379415,0.093193094687232692,0.070834921842948553,0.092674256435482369,0.10940661117464194,100
152,149,Needle In Haystack High,DynamicGreedy,DynamicGreedy,600,HardMax,0.4658944444444445,0.072447961201901473,0.093251259372419598,0.068792907667359293,0.092165747122363501,0.11177240176203909,100
150,147,Needle In Haystack High,DynamicGreedy,DynamicGreedy,800,HardMax,0.46381250000000002,0.072262410280137843,0.093331474741109838,0.068627017832309276,0.092394767869999034,0.1139251819345275,100
145,143,Needle In Haystack High,DynamicGreedy,DynamicGreedy,1000,HardMax,0.46248333333333336,0.070784955845649658,0.093158124870812653,0.06894655544066397,0.092771587729861243,0.11340337430284067,100
166,182,Needle In Haystack High,DynamicEpsilonGreedy,DynamicEpsilonGreedy,200,HardMax,0.51564166666666666,0.072644162326188227,0.083558675267699417,0.076947947348542364,0.085505018407853572,0.12266824508682603,100
154,171,Needle In Haystack High,DynamicEpsilonGreedy,DynamicEpsilonGreedy,400,HardMax,0.5189125,0.063784094078033579,0.080156634220176312,0.070355302997033381,0.084556811438574145,0.12783894290953182,100
147,165,Needle In Haystack High,DynamicEpsilonGreedy,DynamicEpsilonGreedy,600,HardMax,0.51838888888888879,0.05952623917735015,0.078721123378801675,0.065915091396295644,0.083004723070604011,0.1280428135952692,100
145,165,Needle In Haystack High,DynamicEpsilonGreedy,DynamicEpsilonGreedy,800,HardMax,0.51838541666666671,0.056944405232983032,0.077846254357382683,0.06360189106095715,0.082280087756706602,0.12803514399829374,100
143,163,Needle In Haystack High,DynamicEpsilonGreedy,DynamicEpsilonGreedy,1000,HardMax,0.51867333333333332,0.055523174472626793,0.077348211136500325,0.062473618920170025,0.08212581606933532,0.12861232716950016,100
0,0,Needle In Haystack High,ThompsonSampling,DynamicEpsilonGreedy,200,HardMaxWithRandom,0.49734166666666663,0.083791712295256129,0.057891991413352793,0.081974544273366617,0.084152938752249981,0.099065758251736857,100
0,0,Needle In Haystack High,ThompsonSampling,DynamicEpsilonGreedy,400,HardMaxWithRandom,0.4976416666666667,0.071751764701583454,0.057424258358804332,0.075298489834590795,0.08211045844068128,0.099767739495747923,100
0,0,Needle In Haystack High,ThompsonSampling,DynamicEpsilonGreedy,600,HardMaxWithRandom,0.49708888888888886,0.064845408548751773,0.057069417080595715,0.071767811561730593,0.081944140956786399,0.099692218726200404,100
0,0,Needle In Haystack High,ThompsonSampling,DynamicEpsilonGreedy,800,HardMaxWithRandom,0.49445,0.059880485507855269,0.056591226180720364,0.069099302558873865,0.081642228160795527,0.09758107587514632,100
0,0,Needle In Haystack High,ThompsonSampling,DynamicEpsilonGreedy,1000,HardMaxWithRandom,0.49279833333333328,0.056276131202205593,0.056110668101651856,0.066704580139477748,0.081289329628579848,0.095402210999629353,100
1,0,Needle In Haystack High,ThompsonSampling,DynamicGreedy,200,HardMaxWithRandom,0.48023333333333329,0.078498782467911574,0.056241008304836228,0.080859408864596999,0.091094438134047079,0.10077465042729811,100
0,0,Needle In Haystack High,ThompsonSampling,DynamicGreedy,400,HardMaxWithRandom,0.4852541666666666,0.065963757838007925,0.053366908865742482,0.077286591512907343,0.090850567289501902,0.10419567929725129,100
0,0,Needle In Haystack High,ThompsonSampling,DynamicGreedy,600,HardMaxWithRandom,0.49019722222222223,0.058392079017902686,0.052984782295997804,0.075603688271103739,0.091085308493474529,0.10587376519269749,100
0,0,Needle In Haystack High,ThompsonSampling,DynamicGreedy,800,HardMaxWithRandom,0.49514791666666669,0.053290334866278939,0.051576729664106889,0.074573419760868676,0.091485079687272028,0.10589962128326247,100
0,0,Needle In Haystack High,ThompsonSampling,DynamicGreedy,1000,HardMaxWithRandom,0.49998833333333331,0.048983229959026403,0.050660371529109252,0.073546889525689607,0.091748687667501383,0.10517273778500837,100
3,1,Needle In Haystack High,DynamicGreedy,DynamicEpsilonGreedy,200,HardMaxWithRandom,0.4890166666666666,0.087464941300546731,0.092789610709213169,0.08247054072521133,0.084655128235947452,0.10364728224135852,100
