P1 Number of NaNs,P2 Number of NaNs,Prior,P1 Alg,P2 Alg,Time Horizon,Agent Alg,Market Share for P1,P1 Regret Mean,P1 Regret Std,P2 Regret Mean,P2 Regret Std,Abs Average Delta Regret,Memory Size
1,1,Needle In Haystack High,ThompsonSampling,DynamicEpsilonGreedy,200,HardMax,0.33499999999999996,0.1824999999999998,0.017500000000000154,0.034155778894472327,0.028155778894472332,0.13768844221105531,100
0,0,Needle In Haystack High,ThompsonSampling,DynamicEpsilonGreedy,400,HardMax,nan,nan,nan,nan,nan,nan,100
0,0,Needle In Haystack High,ThompsonSampling,DynamicEpsilonGreedy,600,HardMax,nan,nan,nan,nan,nan,nan,100
0,0,Needle In Haystack High,ThompsonSampling,DynamicEpsilonGreedy,800,HardMax,nan,nan,nan,nan,nan,nan,100
0,0,Needle In Haystack High,ThompsonSampling,DynamicEpsilonGreedy,1000,HardMax,nan,nan,nan,nan,nan,nan,100
3,0,Needle In Haystack High,ThompsonSampling,DynamicGreedy,200,HardMax,0.0,nan,nan,0.067000000000000046,0.093341666294676121,nan,100
0,0,Needle In Haystack High,ThompsonSampling,DynamicGreedy,400,HardMax,nan,nan,nan,nan,nan,nan,100
0,0,Needle In Haystack High,ThompsonSampling,DynamicGreedy,600,HardMax,nan,nan,nan,nan,nan,nan,100
0,0,Needle In Haystack High,ThompsonSampling,DynamicGreedy,800,HardMax,nan,nan,nan,nan,nan,nan,100
0,0,Needle In Haystack High,ThompsonSampling,DynamicGreedy,1000,HardMax,nan,nan,nan,nan,nan,nan,100
2,0,Needle In Haystack High,DynamicGreedy,DynamicEpsilonGreedy,200,HardMax,0.0033333333333333335,0.0,0.0,0.073653198653198679,0.086492354639211663,0.19595959595959603,100
0,0,Needle In Haystack High,DynamicGreedy,DynamicEpsilonGreedy,400,HardMax,nan,nan,nan,nan,nan,nan,100
0,0,Needle In Haystack High,DynamicGreedy,DynamicEpsilonGreedy,600,HardMax,nan,nan,nan,nan,nan,nan,100
0,0,Needle In Haystack High,DynamicGreedy,DynamicEpsilonGreedy,800,HardMax,nan,nan,nan,nan,nan,nan,100
0,0,Needle In Haystack High,DynamicGreedy,DynamicEpsilonGreedy,1000,HardMax,nan,nan,nan,nan,nan,nan,100
1,1,Needle In Haystack High,ThompsonSampling,ThompsonSampling,200,HardMax,0.51000000000000001,0.096339622641509318,0.0076603773584904694,0.061617021276595768,0.02561702127659575,0.0014452027298273301,100
0,0,Needle In Haystack High,ThompsonSampling,ThompsonSampling,400,HardMax,nan,nan,nan,nan,nan,nan,100
0,0,Needle In Haystack High,ThompsonSampling,ThompsonSampling,600,HardMax,nan,nan,nan,nan,nan,nan,100
0,0,Needle In Haystack High,ThompsonSampling,ThompsonSampling,800,HardMax,nan,nan,nan,nan,nan,nan,100
0,0,Needle In Haystack High,ThompsonSampling,ThompsonSampling,1000,HardMax,nan,nan,nan,nan,nan,nan,100
1,2,Needle In Haystack High,DynamicGreedy,DynamicGreedy,200,HardMax,0.66666666666666663,0.099500000000000061,0.099500000000000061,0.20000000000000015,0.0,nan,100
0,0,Needle In Haystack High,DynamicGreedy,DynamicGreedy,400,HardMax,nan,nan,nan,nan,nan,nan,100
0,0,Needle In Haystack High,DynamicGreedy,DynamicGreedy,600,HardMax,nan,nan,nan,nan,nan,nan,100
0,0,Needle In Haystack High,DynamicGreedy,DynamicGreedy,800,HardMax,nan,nan,nan,nan,nan,nan,100
0,0,Needle In Haystack High,DynamicGreedy,DynamicGreedy,1000,HardMax,nan,nan,nan,nan,nan,nan,100
0,1,Needle In Haystack High,DynamicEpsilonGreedy,DynamicEpsilonGreedy,200,HardMax,0.68500000000000005,0.088432160804020069,0.081835875655769219,0.0031914893617021271,0.0031914893617021271,0.12645675184432797,100
0,0,Needle In Haystack High,DynamicEpsilonGreedy,DynamicEpsilonGreedy,400,HardMax,nan,nan,nan,nan,nan,nan,100
0,0,Needle In Haystack High,DynamicEpsilonGreedy,DynamicEpsilonGreedy,600,HardMax,nan,nan,nan,nan,nan,nan,100
0,0,Needle In Haystack High,DynamicEpsilonGreedy,DynamicEpsilonGreedy,800,HardMax,nan,nan,nan,nan,nan,nan,100
0,0,Needle In Haystack High,DynamicEpsilonGreedy,DynamicEpsilonGreedy,1000,HardMax,nan,nan,nan,nan,nan,nan,100
