Prior,P1 Alg,P2 Alg,Time Horizon,Agent Alg,Market Share for P1,P1 Regret,P2 Regret,Abs Delta Regret,Memory Size
Needle In Haystack High,ThompsonSampling,DynamicEpsilonGreedy,200,HardMax,0.0,nan,0.0059999999999999984,nan,100
Needle In Haystack High,ThompsonSampling,DynamicEpsilonGreedy,200,HardMax,0.005,0.19999999999999996,0.062311557788944663,0.13768844221105531,100
Needle In Haystack High,ThompsonSampling,DynamicEpsilonGreedy,200,HardMax,1.0,0.16499999999999965,nan,nan,100
Needle In Haystack High,ThompsonSampling,DynamicGreedy,200,HardMax,0.0,nan,0.19900000000000012,nan,100
Needle In Haystack High,ThompsonSampling,DynamicGreedy,200,HardMax,0.0,nan,0.0019999999999999996,nan,100
Needle In Haystack High,ThompsonSampling,DynamicGreedy,200,HardMax,0.0,nan,0.0,nan,100
Needle In Haystack High,DynamicGreedy,DynamicEpsilonGreedy,200,HardMax,0.0,nan,0.010999999999999996,nan,100
Needle In Haystack High,DynamicGreedy,DynamicEpsilonGreedy,200,HardMax,0.0,nan,0.013999999999999999,nan,100
Needle In Haystack High,DynamicGreedy,DynamicEpsilonGreedy,200,HardMax,0.01,0.0,0.19595959595959603,0.19595959595959603,100
Needle In Haystack High,ThompsonSampling,ThompsonSampling,200,HardMax,1.0,0.10399999999999979,nan,nan,100
Needle In Haystack High,ThompsonSampling,ThompsonSampling,200,HardMax,0.53,0.088679245283018848,0.087234042553191518,0.0014452027298273301,100
Needle In Haystack High,ThompsonSampling,ThompsonSampling,200,HardMax,0.0,nan,0.036000000000000018,nan,100
Needle In Haystack High,DynamicGreedy,DynamicGreedy,200,HardMax,1.0,0.19900000000000012,nan,nan,100
Needle In Haystack High,DynamicGreedy,DynamicGreedy,200,HardMax,1.0,0.0,nan,nan,100
Needle In Haystack High,DynamicGreedy,DynamicGreedy,200,HardMax,0.0,nan,0.20000000000000015,nan,100
Needle In Haystack High,DynamicEpsilonGreedy,DynamicEpsilonGreedy,200,HardMax,0.995,0.059296482412060252,0.0,0.059296482412060252,100
Needle In Haystack High,DynamicEpsilonGreedy,DynamicEpsilonGreedy,200,HardMax,1.0,0.0059999999999999984,nan,nan,100
Needle In Haystack High,DynamicEpsilonGreedy,DynamicEpsilonGreedy,200,HardMax,0.06,0.19999999999999996,0.0063829787234042541,0.19361702127659569,100
