P1 Number of NaNs,P2 Number of NaNs,Prior,P1 Alg,P2 Alg,Time Horizon,Agent Alg,Market Share for P1,P1 Regret Mean,P1 Regret Std,P2 Regret Mean,P2 Regret Std,Abs Average Delta Regret,Memory Size
367,314,Needle In Haystack High,ThompsonSampling,DynamicEpsilonGreedy,200,HardMax,0.48274583333333332,0.069454615121285937,0.058764466722233594,0.071442253629394561,0.083592831462032322,0.10869812639717986,100
353,302,Needle In Haystack High,ThompsonSampling,DynamicEpsilonGreedy,400,HardMax,0.48756875,0.05771738140905068,0.060284288233247559,0.064737464085456123,0.081357284202452571,0.11281538082759654,100
349,295,Needle In Haystack High,ThompsonSampling,DynamicEpsilonGreedy,600,HardMax,0.4886847222222222,0.052660563720959765,0.061593287066142817,0.061292120810530801,0.080220708825988168,0.11581380295676537,100
341,290,Needle In Haystack High,ThompsonSampling,DynamicEpsilonGreedy,800,HardMax,0.48898020833333322,0.049749647221437897,0.062850790715355681,0.05952232528156659,0.079833162862261775,0.11711157023413256,100
336,289,Needle In Haystack High,ThompsonSampling,DynamicEpsilonGreedy,1000,HardMax,0.48956499999999997,0.048001547838204879,0.063782527898931574,0.057927370012066125,0.079387661613134139,0.11782206031487022,100
390,331,Needle In Haystack High,ThompsonSampling,DynamicGreedy,200,HardMax,0.4909708333333333,0.067978406683619999,0.055359671065451276,0.078505803047949574,0.093511668432107856,0.11458637729424725,100
378,320,Needle In Haystack High,ThompsonSampling,DynamicGreedy,400,HardMax,0.49908541666666667,0.053777587558114015,0.055683080910805025,0.075567478218246414,0.093353667029889439,0.12050315524122988,100
371,315,Needle In Haystack High,ThompsonSampling,DynamicGreedy,600,HardMax,0.50422083333333323,0.047864339971346592,0.056451063061171654,0.074141138201001808,0.093360106653352065,0.12401564202255272,100
366,308,Needle In Haystack High,ThompsonSampling,DynamicGreedy,800,HardMax,0.50744375000000008,0.044289527803947563,0.057229306030996019,0.07323838567169072,0.093447972722766351,0.12495160631707378,100
360,306,Needle In Haystack High,ThompsonSampling,DynamicGreedy,1000,HardMax,0.50964500000000001,0.041824764238099749,0.057967083872337517,0.072825242762433948,0.09358430688497095,0.12614192110182529,100
376,327,Needle In Haystack High,DynamicGreedy,DynamicEpsilonGreedy,200,HardMax,0.47636249999999997,0.080734248434592579,0.094953481506920928,0.072022867617360486,0.082058959946271215,0.11912053492352992,100
361,309,Needle In Haystack High,DynamicGreedy,DynamicEpsilonGreedy,400,HardMax,0.47234791666666665,0.079548634668239235,0.095402579230176227,0.064109270100827342,0.079422420697167054,0.12542775929519029,100
