Prior,t,n,0,1,2
Needle In Haystack High,0,0,0,1,0
Needle In Haystack High,1,0,1,1,1
Needle In Haystack High,2,0,0,0,1
Needle In Haystack High,3,0,1,1,1
Needle In Haystack High,4,0,0,1,1
Needle In Haystack High,5,0,1,0,1
Needle In Haystack High,6,0,0,0,0
Needle In Haystack High,7,0,0,0,1
Needle In Haystack High,8,0,1,1,1
Needle In Haystack High,9,0,0,1,0
Needle In Haystack High,10,0,1,0,1
Needle In Haystack High,11,0,1,0,0
Needle In Haystack High,12,0,1,1,1
Needle In Haystack High,13,0,0,1,1
Needle In Haystack High,14,0,1,1,1
Needle In Haystack High,15,0,0,0,0
Needle In Haystack High,16,0,1,0,1
Needle In Haystack High,17,0,0,1,0
Needle In Haystack High,18,0,1,1,1
Needle In Haystack High,19,0,0,1,1
Needle In Haystack High,20,0,1,0,0
Needle In Haystack High,21,0,1,1,1
Needle In Haystack High,22,0,0,0,0
Needle In Haystack High,23,0,1,1,0
Needle In Haystack High,24,0,1,1,0
Needle In Haystack High,25,0,1,0,0
Needle In Haystack High,26,0,0,1,0
Needle In Haystack High,27,0,0,1,1
Needle In Haystack High,28,0,0,1,0
Needle In Haystack High,29,0,0,0,0
Needle In Haystack High,30,0,0,1,1
Needle In Haystack High,31,0,0,1,1
Needle In Haystack High,32,0,0,0,1
Needle In Haystack High,33,0,1,0,1
Needle In Haystack High,34,0,0,1,1
Needle In Haystack High,35,0,0,1,1
Needle In Haystack High,36,0,0,0,1
Needle In Haystack High,37,0,1,1,1
Needle In Haystack High,38,0,0,1,1
Needle In Haystack High,39,0,1,0,1
Needle In Haystack High,40,0,1,0,0
Needle In Haystack High,41,0,1,1,0
Needle In Haystack High,42,0,1,1,0
Needle In Haystack High,43,0,1,1,1
Needle In Haystack High,44,0,1,1,0
Needle In Haystack High,45,0,1,1,1
Needle In Haystack High,46,0,0,1,1
Needle In Haystack High,47,0,0,1,1
Needle In Haystack High,48,0,1,1,1
Needle In Haystack High,49,0,0,1,0
Needle In Haystack High,50,0,0,0,1
Needle In Haystack High,51,0,0,1,0
Needle In Haystack High,52,0,0,1,0
Needle In Haystack High,53,0,0,1,0
Needle In Haystack High,54,0,1,1,1
Needle In Haystack High,55,0,0,0,0
Needle In Haystack High,56,0,1,1,0
Needle In Haystack High,57,0,0,1,1
Needle In Haystack High,58,0,0,1,0
Needle In Haystack High,59,0,0,1,1
Needle In Haystack High,60,0,0,1,1
Needle In Haystack High,61,0,1,0,0
Needle In Haystack High,62,0,1,1,1
Needle In Haystack High,63,0,1,1,1
Needle In Haystack High,64,0,1,1,0
Needle In Haystack High,65,0,1,0,1
Needle In Haystack High,66,0,1,0,1
Needle In Haystack High,67,0,0,0,0
Needle In Haystack High,68,0,0,1,0
Needle In Haystack High,69,0,1,0,0
Needle In Haystack High,70,0,1,1,0
Needle In Haystack High,71,0,1,0,0
Needle In Haystack High,72,0,1,1,1
Needle In Haystack High,73,0,1,1,0
Needle In Haystack High,74,0,0,1,1
Needle In Haystack High,75,0,1,1,0
Needle In Haystack High,76,0,0,1,0
Needle In Haystack High,77,0,0,1,1
Needle In Haystack High,78,0,1,0,0
Needle In Haystack High,79,0,0,0,1
Needle In Haystack High,80,0,1,0,1
Needle In Haystack High,81,0,1,1,1
Needle In Haystack High,82,0,0,1,1
Needle In Haystack High,83,0,0,1,1
Needle In Haystack High,84,0,0,0,0
Needle In Haystack High,85,0,1,1,1
Needle In Haystack High,86,0,1,0,0
Needle In Haystack High,87,0,0,1,0
Needle In Haystack High,88,0,0,0,1
Needle In Haystack High,89,0,0,1,1
Needle In Haystack High,90,0,1,0,0
Needle In Haystack High,91,0,1,0,1
Needle In Haystack High,92,0,0,1,1
Needle In Haystack High,93,0,0,1,1
Needle In Haystack High,94,0,0,1,1
Needle In Haystack High,95,0,1,0,0
Needle In Haystack High,96,0,0,0,1
Needle In Haystack High,97,0,1,0,1
Needle In Haystack High,98,0,1,1,1
Needle In Haystack High,99,0,1,1,1
Needle In Haystack High,100,0,0,1,0
Needle In Haystack High,101,0,1,1,1
Needle In Haystack High,102,0,1,1,0
Needle In Haystack High,103,0,1,1,1
Needle In Haystack High,104,0,1,1,0
Needle In Haystack High,105,0,1,1,0
Needle In Haystack High,106,0,0,1,1
Needle In Haystack High,107,0,0,1,1
Needle In Haystack High,108,0,1,0,1
Needle In Haystack High,109,0,0,0,1
Needle In Haystack High,110,0,1,1,0
Needle In Haystack High,111,0,0,1,1
Needle In Haystack High,112,0,0,1,1
Needle In Haystack High,113,0,0,1,0
Needle In Haystack High,114,0,0,1,1
Needle In Haystack High,115,0,1,0,0
Needle In Haystack High,116,0,1,1,0
Needle In Haystack High,117,0,1,1,1
Needle In Haystack High,118,0,1,1,0
Needle In Haystack High,119,0,0,1,0
Needle In Haystack High,120,0,1,1,0
Needle In Haystack High,121,0,0,0,1
Needle In Haystack High,122,0,0,0,0
Needle In Haystack High,123,0,1,1,1
Needle In Haystack High,124,0,1,1,1
Needle In Haystack High,125,0,0,0,1
Needle In Haystack High,126,0,1,0,0
Needle In Haystack High,127,0,0,0,1
Needle In Haystack High,128,0,0,1,1
Needle In Haystack High,129,0,1,1,1
Needle In Haystack High,130,0,0,0,0
Needle In Haystack High,131,0,0,0,1
Needle In Haystack High,132,0,1,0,0
Needle In Haystack High,133,0,0,1,1
Needle In Haystack High,134,0,0,1,0
Needle In Haystack High,135,0,1,1,0
Needle In Haystack High,136,0,0,1,0
Needle In Haystack High,137,0,1,1,1
Needle In Haystack High,138,0,0,0,1
Needle In Haystack High,139,0,0,1,1
Needle In Haystack High,140,0,1,0,1
Needle In Haystack High,141,0,0,1,1
Needle In Haystack High,142,0,1,0,1
Needle In Haystack High,143,0,0,1,0
Needle In Haystack High,144,0,0,1,1
Needle In Haystack High,145,0,1,0,1
Needle In Haystack High,146,0,0,0,1
Needle In Haystack High,147,0,1,1,0
Needle In Haystack High,148,0,1,1,0
Needle In Haystack High,149,0,0,0,1
Needle In Haystack High,150,0,1,1,1
Needle In Haystack High,151,0,0,1,1
Needle In Haystack High,152,0,1,1,0
Needle In Haystack High,153,0,1,1,0
Needle In Haystack High,154,0,0,1,1
Needle In Haystack High,155,0,1,1,0
Needle In Haystack High,156,0,1,0,0
Needle In Haystack High,157,0,0,1,0
Needle In Haystack High,158,0,1,1,1
Needle In Haystack High,159,0,0,0,1
Needle In Haystack High,160,0,0,1,1
Needle In Haystack High,161,0,1,0,0
Needle In Haystack High,162,0,1,0,1
Needle In Haystack High,163,0,0,0,0
Needle In Haystack High,164,0,1,1,1
Needle In Haystack High,165,0,0,0,1
Needle In Haystack High,166,0,1,1,0
Needle In Haystack High,167,0,0,1,1
Needle In Haystack High,168,0,1,1,0
Needle In Haystack High,169,0,0,1,1
Needle In Haystack High,170,0,1,1,0
Needle In Haystack High,171,0,1,0,0
Needle In Haystack High,172,0,1,0,1
Needle In Haystack High,173,0,1,1,1
Needle In Haystack High,174,0,0,1,0
Needle In Haystack High,175,0,0,1,0
Needle In Haystack High,176,0,0,1,0
Needle In Haystack High,177,0,1,0,1
Needle In Haystack High,178,0,0,1,1
Needle In Haystack High,179,0,0,0,0
Needle In Haystack High,180,0,1,1,0
Needle In Haystack High,181,0,0,1,1
Needle In Haystack High,182,0,0,0,0
Needle In Haystack High,183,0,0,0,0
Needle In Haystack High,184,0,1,1,1
Needle In Haystack High,185,0,0,0,0
Needle In Haystack High,186,0,0,1,0
Needle In Haystack High,187,0,1,1,0
Needle In Haystack High,188,0,1,1,0
Needle In Haystack High,189,0,1,0,1
Needle In Haystack High,190,0,0,0,1
Needle In Haystack High,191,0,0,1,0
Needle In Haystack High,192,0,0,1,1
Needle In Haystack High,193,0,0,0,1
Needle In Haystack High,194,0,1,1,0
Needle In Haystack High,195,0,0,1,1
Needle In Haystack High,196,0,1,0,1
Needle In Haystack High,197,0,0,1,0
Needle In Haystack High,198,0,0,0,0
Needle In Haystack High,199,0,0,0,1
Needle In Haystack High,200,0,1,1,0
Needle In Haystack High,201,0,0,1,1
Needle In Haystack High,202,0,0,1,1
Needle In Haystack High,203,0,0,0,1
Needle In Haystack High,204,0,0,1,0
Needle In Haystack High,205,0,1,1,1
Needle In Haystack High,206,0,1,0,1
Needle In Haystack High,207,0,1,0,1
Needle In Haystack High,208,0,0,1,1
Needle In Haystack High,209,0,1,1,0
Needle In Haystack High,210,0,1,0,0
Needle In Haystack High,211,0,0,1,1
Needle In Haystack High,212,0,0,1,0
Needle In Haystack High,213,0,0,1,1
Needle In Haystack High,214,0,0,1,0
Needle In Haystack High,215,0,0,0,1
Needle In Haystack High,216,0,1,1,1
Needle In Haystack High,217,0,0,0,1
Needle In Haystack High,218,0,1,1,1
Needle In Haystack High,219,0,1,0,0
Needle In Haystack High,220,0,1,1,0
Needle In Haystack High,221,0,1,1,1
Needle In Haystack High,222,0,0,1,0
Needle In Haystack High,223,0,0,1,1
Needle In Haystack High,224,0,0,1,1
Needle In Haystack High,225,0,0,0,0
Needle In Haystack High,226,0,1,1,1
Needle In Haystack High,227,0,1,1,1
Needle In Haystack High,228,0,1,1,0
Needle In Haystack High,229,0,0,1,1
Needle In Haystack High,230,0,0,1,0
Needle In Haystack High,231,0,0,1,0
Needle In Haystack High,232,0,0,1,0
Needle In Haystack High,233,0,1,1,0
Needle In Haystack High,234,0,0,0,1
Needle In Haystack High,235,0,1,1,0
Needle In Haystack High,236,0,0,0,0
Needle In Haystack High,237,0,0,1,1
Needle In Haystack High,238,0,1,1,0
Needle In Haystack High,239,0,0,1,0
Needle In Haystack High,240,0,0,1,1
Needle In Haystack High,241,0,1,1,1
Needle In Haystack High,242,0,0,1,1
Needle In Haystack High,243,0,0,0,0
Needle In Haystack High,244,0,0,1,0
Needle In Haystack High,245,0,0,1,0
Needle In Haystack High,246,0,0,1,1
Needle In Haystack High,247,0,1,1,1
Needle In Haystack High,248,0,1,0,1
Needle In Haystack High,249,0,1,1,0
Needle In Haystack High,0,1,0,1,1
Needle In Haystack High,1,1,0,0,1
Needle In Haystack High,2,1,1,1,0
Needle In Haystack High,3,1,0,1,1
Needle In Haystack High,4,1,1,1,1
Needle In Haystack High,5,1,0,1,0
Needle In Haystack High,6,1,0,1,0
Needle In Haystack High,7,1,1,0,0
Needle In Haystack High,8,1,1,1,1
Needle In Haystack High,9,1,1,1,1
Needle In Haystack High,10,1,0,1,1
Needle In Haystack High,11,1,0,1,0
Needle In Haystack High,12,1,1,1,0
Needle In Haystack High,13,1,0,1,1
Needle In Haystack High,14,1,1,0,0
Needle In Haystack High,15,1,1,1,1
Needle In Haystack High,16,1,0,1,0
Needle In Haystack High,17,1,1,0,1
Needle In Haystack High,18,1,1,1,0
Needle In Haystack High,19,1,0,1,0
Needle In Haystack High,20,1,1,0,0
Needle In Haystack High,21,1,1,1,1
Needle In Haystack High,22,1,0,1,0
Needle In Haystack High,23,1,1,1,0
Needle In Haystack High,24,1,0,0,1
Needle In Haystack High,25,1,1,0,1
Needle In Haystack High,26,1,1,1,0
Needle In Haystack High,27,1,1,1,1
Needle In Haystack High,28,1,1,1,0
Needle In Haystack High,29,1,1,0,0
Needle In Haystack High,30,1,1,0,0
Needle In Haystack High,31,1,1,0,1
Needle In Haystack High,32,1,0,1,1
Needle In Haystack High,33,1,0,0,0
Needle In Haystack High,34,1,1,1,0
Needle In Haystack High,35,1,0,0,1
